Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Landvik;SN38140;04.04.2006;0
Landvik;SN38140;05.04.2006;0
Landvik;SN38140;06.04.2006;1,4
Landvik;SN38140;07.04.2006;0,7
Landvik;SN38140;08.04.2006;1,3
Landvik;SN38140;09.04.2006;12,1
Landvik;SN38140;10.04.2006;2,6
Landvik;SN38140;11.04.2006;0
Landvik;SN38140;12.04.2006;14,3
Landvik;SN38140;13.04.2006;10
Landvik;SN38140;14.04.2006;2,5
Landvik;SN38140;15.04.2006;0
Landvik;SN38140;16.04.2006;0
Landvik;SN38140;17.04.2006;0
Landvik;SN38140;18.04.2006;0,7
Landvik;SN38140;19.04.2006;0
Landvik;SN38140;20.04.2006;3,1
Landvik;SN38140;21.04.2006;0
Landvik;SN38140;22.04.2006;0
Landvik;SN38140;23.04.2006;0
Landvik;SN38140;24.04.2006;2,4
Landvik;SN38140;25.04.2006;0
Landvik;SN38140;26.04.2006;2,8
Landvik;SN38140;27.04.2006;0
Landvik;SN38140;28.04.2006;0
Landvik;SN38140;29.04.2006;0,5
Landvik;SN38140;30.04.2006;12
Landvik;SN38140;01.05.2006;5,9
Landvik;SN38140;02.05.2006;0,3
Landvik;SN38140;03.05.2006;0,4
Landvik;SN38140;04.05.2006;0
Landvik;SN38140;05.05.2006;0
Landvik;SN38140;06.05.2006;0
Landvik;SN38140;07.05.2006;0
Landvik;SN38140;08.05.2006;0
Landvik;SN38140;09.05.2006;0
Landvik;SN38140;10.05.2006;0
Landvik;SN38140;11.05.2006;0
Landvik;SN38140;12.05.2006;0
Landvik;SN38140;13.05.2006;0
Landvik;SN38140;14.05.2006;0
Landvik;SN38140;15.05.2006;0
Landvik;SN38140;16.05.2006;1
Landvik;SN38140;17.05.2006;11,2
Landvik;SN38140;18.05.2006;4,7
Landvik;SN38140;19.05.2006;26,2
Landvik;SN38140;20.05.2006;16,1
Landvik;SN38140;21.05.2006;2,6
Landvik;SN38140;22.05.2006;15,6
Landvik;SN38140;23.05.2006;7,8
Landvik;SN38140;24.05.2006;1,3
Landvik;SN38140;25.05.2006;1,9
Landvik;SN38140;26.05.2006;0
Landvik;SN38140;27.05.2006;0,7
Landvik;SN38140;28.05.2006;1,4
Landvik;SN38140;29.05.2006;3,4
Landvik;SN38140;30.05.2006;0,3
Landvik;SN38140;31.05.2006;0,2
Landvik;SN38140;01.06.2006;4,5
Landvik;SN38140;02.06.2006;0,1
Landvik;SN38140;03.06.2006;0
Landvik;SN38140;04.06.2006;0
Landvik;SN38140;05.06.2006;0,1
Landvik;SN38140;06.06.2006;0,2
Landvik;SN38140;07.06.2006;0,1
Landvik;SN38140;08.06.2006;0,1
Landvik;SN38140;09.06.2006;0,1
Landvik;SN38140;10.06.2006;0,1
Landvik;SN38140;11.06.2006;0
Landvik;SN38140;12.06.2006;0,1
Landvik;SN38140;13.06.2006;0,1
Landvik;SN38140;14.06.2006;0,1
Landvik;SN38140;15.06.2006;0
Landvik;SN38140;16.06.2006;0,1
Landvik;SN38140;17.06.2006;0,1
Landvik;SN38140;18.06.2006;0,1
Landvik;SN38140;19.06.2006;0,3
Landvik;SN38140;20.06.2006;10,3
Landvik;SN38140;21.06.2006;2,8
Landvik;SN38140;22.06.2006;6,4
Landvik;SN38140;23.06.2006;7,4
Landvik;SN38140;24.06.2006;0,2
Landvik;SN38140;25.06.2006;1,7
Landvik;SN38140;26.06.2006;0
Landvik;SN38140;27.06.2006;1,1
Landvik;SN38140;28.06.2006;2,2
Landvik;SN38140;29.06.2006;0,1
Landvik;SN38140;30.06.2006;0,2
Landvik;SN38140;01.07.2006;0
Landvik;SN38140;02.07.2006;0
Landvik;SN38140;03.07.2006;0
Landvik;SN38140;04.07.2006;0
Landvik;SN38140;05.07.2006;0
Landvik;SN38140;06.07.2006;0
Landvik;SN38140;07.07.2006;0,2
Landvik;SN38140;08.07.2006;0
Landvik;SN38140;09.07.2006;0
Landvik;SN38140;10.07.2006;11,8
Landvik;SN38140;11.07.2006;1,3
Landvik;SN38140;12.07.2006;10
Landvik;SN38140;13.07.2006;0
Landvik;SN38140;14.07.2006;0
Landvik;SN38140;15.07.2006;0
Landvik;SN38140;16.07.2006;0
Landvik;SN38140;17.07.2006;0
Landvik;SN38140;18.07.2006;0
Landvik;SN38140;19.07.2006;0
Landvik;SN38140;20.07.2006;0
Landvik;SN38140;21.07.2006;0
Landvik;SN38140;22.07.2006;0
Landvik;SN38140;23.07.2006;0
Landvik;SN38140;24.07.2006;0
Landvik;SN38140;25.07.2006;0
Landvik;SN38140;26.07.2006;0
Landvik;SN38140;27.07.2006;0
Landvik;SN38140;28.07.2006;2,1
Landvik;SN38140;29.07.2006;0
Landvik;SN38140;30.07.2006;0
Landvik;SN38140;31.07.2006;26,4
Landvik;SN38140;01.08.2006;0,5
Landvik;SN38140;02.08.2006;12,3
Landvik;SN38140;03.08.2006;6,3
Landvik;SN38140;04.08.2006;0
Landvik;SN38140;05.08.2006;0,1
Landvik;SN38140;06.08.2006;0,1
Landvik;SN38140;07.08.2006;0,1
Landvik;SN38140;08.08.2006;0
Landvik;SN38140;09.08.2006;0,1
Landvik;SN38140;10.08.2006;0
Landvik;SN38140;11.08.2006;0
Landvik;SN38140;12.08.2006;0,2
Landvik;SN38140;13.08.2006;9,3
Landvik;SN38140;14.08.2006;2,1
Landvik;SN38140;15.08.2006;23,9
Landvik;SN38140;16.08.2006;0
Landvik;SN38140;17.08.2006;0,1
Landvik;SN38140;18.08.2006;0
Landvik;SN38140;19.08.2006;0,7
Landvik;SN38140;20.08.2006;8
Landvik;SN38140;21.08.2006;27,7
Landvik;SN38140;22.08.2006;0
Landvik;SN38140;23.08.2006;3,4
Landvik;SN38140;24.08.2006;0,1
Landvik;SN38140;25.08.2006;2,1
Landvik;SN38140;26.08.2006;0
Landvik;SN38140;27.08.2006;8,6
Landvik;SN38140;28.08.2006;23,2
Landvik;SN38140;29.08.2006;5,4
Landvik;SN38140;30.08.2006;0
Landvik;SN38140;31.08.2006;0
Landvik;SN38140;01.09.2006;0,1
Landvik;SN38140;02.09.2006;3,6
Landvik;SN38140;03.09.2006;54,3
Landvik;SN38140;04.09.2006;0
Landvik;SN38140;05.09.2006;0
Landvik;SN38140;06.09.2006;0
Landvik;SN38140;07.09.2006;3,3
Landvik;SN38140;08.09.2006;5,1
Landvik;SN38140;09.09.2006;0
Landvik;SN38140;10.09.2006;0
Landvik;SN38140;11.09.2006;0
Landvik;SN38140;12.09.2006;0
Landvik;SN38140;13.09.2006;0
Landvik;SN38140;14.09.2006;0
Landvik;SN38140;15.09.2006;0,1
Landvik;SN38140;16.09.2006;0
Landvik;SN38140;17.09.2006;0,1
Landvik;SN38140;18.09.2006;0,6
Landvik;SN38140;19.09.2006;0,2
Landvik;SN38140;20.09.2006;1
Landvik;SN38140;21.09.2006;0
Landvik;SN38140;22.09.2006;0,2
Landvik;SN38140;23.09.2006;0
Landvik;SN38140;24.09.2006;0,5
Landvik;SN38140;25.09.2006;0
Landvik;SN38140;26.09.2006;0
Landvik;SN38140;27.09.2006;21,6
Landvik;SN38140;28.09.2006;0
Landvik;SN38140;29.09.2006;2,2
Landvik;SN38140;30.09.2006;41,8
Landvik;SN38140;01.10.2006;0,9
Landvik;SN38140;02.10.2006;12,9
Landvik;SN38140;03.10.2006;3,3
Landvik;SN38140;04.10.2006;5,1
Landvik;SN38140;05.10.2006;0,6
Landvik;SN38140;06.10.2006;8,9
Landvik;SN38140;07.10.2006;16,9
Landvik;SN38140;08.10.2006;1,7
Landvik;SN38140;09.10.2006;0
Landvik;SN38140;10.10.2006;3,3
Landvik;SN38140;11.10.2006;0
Landvik;SN38140;12.10.2006;1,3
Landvik;SN38140;13.10.2006;0
Landvik;SN38140;14.10.2006;0
Landvik;SN38140;15.10.2006;0
Landvik;SN38140;16.10.2006;0
Landvik;SN38140;17.10.2006;0
Landvik;SN38140;18.10.2006;0
Landvik;SN38140;19.10.2006;0,7
Landvik;SN38140;20.10.2006;30,2
Landvik;SN38140;21.10.2006;19,1
Landvik;SN38140;22.10.2006;19,6
Landvik;SN38140;23.10.2006;7,8
Landvik;SN38140;24.10.2006;2,4
Landvik;SN38140;25.10.2006;0
Landvik;SN38140;26.10.2006;19,8
Landvik;SN38140;27.10.2006;29,5
Landvik;SN38140;28.10.2006;0,3
Landvik;SN38140;29.10.2006;12,6
Landvik;SN38140;30.10.2006;0,3
Landvik;SN38140;31.10.2006;15,1
Landvik;SN38140;01.11.2006;4,3
Landvik;SN38140;02.11.2006;0
Landvik;SN38140;03.11.2006;0
Landvik;SN38140;04.11.2006;0
Landvik;SN38140;05.11.2006;0
Landvik;SN38140;06.11.2006;0
Landvik;SN38140;07.11.2006;0
Landvik;SN38140;08.11.2006;0
Landvik;SN38140;09.11.2006;0,7
Landvik;SN38140;10.11.2006;0
Landvik;SN38140;11.11.2006;7
Landvik;SN38140;12.11.2006;0,5
