Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;11.01.1961;1021,1;1025,8;1016,1;6,7;7,7
Torungen Fyr;SN36200;12.01.1961;1023,1;1026,5;1019,2;2,1;10,3
Torungen Fyr;SN36200;13.01.1961;1017,8;1020,7;1014,6;5,1;7,2
Torungen Fyr;SN36200;14.01.1961;1030;1031,7;1027,9;4,6;8,2
Torungen Fyr;SN36200;15.01.1961;1030,5;1030,6;1030,2;2,6;6,2
Torungen Fyr;SN36200;16.01.1961;1033,2;1033,9;1031,7;3,1;5,1
Torungen Fyr;SN36200;17.01.1961;1036,7;1037,6;1035,4;2,6;4,6
Torungen Fyr;SN36200;18.01.1961;1036,9;1037,5;1035,8;5,1;6,2
Torungen Fyr;SN36200;19.01.1961;1029,9;1031,8;1027,9;5,1;6,7
Torungen Fyr;SN36200;20.01.1961;1024,5;1024,8;1024,1;7,7;9,3
Torungen Fyr;SN36200;21.01.1961;1022,7;1023;1022,1;6,2;9,3
Torungen Fyr;SN36200;22.01.1961;1020,6;1020,9;1020,2;4,6;12,3
Torungen Fyr;SN36200;23.01.1961;1024,3;1025;1023,1;6,7;12,3
Torungen Fyr;SN36200;24.01.1961;1024;1024,2;1023,5;8,2;10,3
Torungen Fyr;SN36200;25.01.1961;1023,5;1023,9;1023,2;3,1;10,8
Torungen Fyr;SN36200;26.01.1961;1025,6;1026,2;1024,5;2,6;7,2
Torungen Fyr;SN36200;27.01.1961;1017,1;1022,7;1010,1;9,3;12,9
Torungen Fyr;SN36200;28.01.1961;1007;1009,5;1004,8;6,2;10,3
Torungen Fyr;SN36200;29.01.1961;986,1;989,8;981,7;5,1;14,4
Torungen Fyr;SN36200;30.01.1961;980,2;984,8;974,1;9,3;11,3
Torungen Fyr;SN36200;31.01.1961;986,3;987,8;985,2;7,2;9,3
Torungen Fyr;SN36200;01.02.1961;990,2;991;988,9;3,6;9,3
Torungen Fyr;SN36200;02.02.1961;991,1;992,5;990,3;6,7;9,3
Torungen Fyr;SN36200;03.02.1961;999,1;1001,1;996,9;2,1;5,7
Torungen Fyr;SN36200;04.02.1961;1001,9;1003,4;1000,8;1,5;3,1
Torungen Fyr;SN36200;05.02.1961;1009,9;1010,8;1009,1;2,1;5,1
Torungen Fyr;SN36200;06.02.1961;989,8;997,2;982;5,1;10,3
Torungen Fyr;SN36200;07.02.1961;987,8;995,4;980,5;3,6;10,8
Torungen Fyr;SN36200;08.02.1961;1007,5;1010,7;1003,3;5,1;7,2
Torungen Fyr;SN36200;09.02.1961;1008,4;1014,1;1004,5;5,7;13,4
Torungen Fyr;SN36200;10.02.1961;1014,7;1019,8;1008,1;3,1;10,8
Torungen Fyr;SN36200;11.02.1961;1001,4;1003;999,7;4,6;9,8
Torungen Fyr;SN36200;12.02.1961;1011,1;1014,8;1006,6;0;4,1
Torungen Fyr;SN36200;13.02.1961;1018;1018,8;1016,7;1;4,1
Torungen Fyr;SN36200;14.02.1961;1014,8;1015,2;1014,2;7,7;10,8
Torungen Fyr;SN36200;15.02.1961;1022,7;1026,4;1018,2;3,6;7,2
Torungen Fyr;SN36200;16.02.1961;1029,5;1030,1;1028,7;9,3;10,3
Torungen Fyr;SN36200;17.02.1961;1028,2;1028,5;1027,9;8,2;10,3
Torungen Fyr;SN36200;18.02.1961;1023,6;1024,7;1022,8;5,1;10,3
Torungen Fyr;SN36200;19.02.1961;1027,6;1029,5;1024,8;4,6;7,2
Torungen Fyr;SN36200;20.02.1961;1028,2;1028,5;1027,8;8,2;11,3
Torungen Fyr;SN36200;21.02.1961;1031,1;1032,6;1028,8;2,6;11,3
Torungen Fyr;SN36200;22.02.1961;1036,8;1037,7;1035,7;3,1;5,1
Torungen Fyr;SN36200;23.02.1961;1035;1036,2;1033,3;3,1;7,2
Torungen Fyr;SN36200;24.02.1961;1026;1029,2;1023;9,8;13,9
Torungen Fyr;SN36200;25.02.1961;1021,8;1021,8;1021,8;5,1;6,2
Torungen Fyr;SN36200;26.02.1961;1017;1018;1015,7;5,7;10,3
Torungen Fyr;SN36200;27.02.1961;1009,9;1011;1008,7;9,3;13,9
Torungen Fyr;SN36200;28.02.1961;1007,1;1007,5;1006,5;3,1;4,1
Torungen Fyr;SN36200;01.03.1961;1019,1;1021;1016,2;4,1;6,2
Torungen Fyr;SN36200;02.03.1961;1018,5;1020,5;1017,1;1;5,1
Torungen Fyr;SN36200;03.03.1961;1027,7;1029,1;1026;3,1;9,8
Torungen Fyr;SN36200;04.03.1961;1023,2;1024,2;1022,1;6,7;12,9
Torungen Fyr;SN36200;05.03.1961;1030,8;1031,3;1030,3;7,7;8,7
Torungen Fyr;SN36200;06.03.1961;1025,3;1027,4;1022,8;2,1;12,3
Torungen Fyr;SN36200;07.03.1961;1027,2;1029,5;1024,4;0;12,3
Torungen Fyr;SN36200;08.03.1961;1030,3;1031,3;1029;7,2;10,8
Torungen Fyr;SN36200;09.03.1961;1025,6;1026,6;1024,1;6,2;11,3
Torungen Fyr;SN36200;10.03.1961;1015,9;1019,2;1012,2;9,8;10,8
Torungen Fyr;SN36200;11.03.1961;1014;1015,9;1012,4;7,2;10,8
Torungen Fyr;SN36200;12.03.1961;995,4;998,6;993,3;8,7;17,5
Torungen Fyr;SN36200;13.03.1961;1010,9;1011,8;1009,1;2,1;6,2
Torungen Fyr;SN36200;14.03.1961;1007,7;1008,9;1006,9;5,1;10,3
Torungen Fyr;SN36200;15.03.1961;1014,1;1016,1;1012,7;8,2;11,3
Torungen Fyr;SN36200;16.03.1961;1014,4;1017,3;1011,3;10,3;11,3
Torungen Fyr;SN36200;17.03.1961;1007,8;1014,7;998,6;3,1;10,3
Torungen Fyr;SN36200;18.03.1961;987,3;994,7;982,2;8,2;14,4
Torungen Fyr;SN36200;19.03.1961;1008,6;1009,6;1006,9;4,1;8,2
Torungen Fyr;SN36200;20.03.1961;989;999,1;983,7;8,2;11,8
Torungen Fyr;SN36200;21.03.1961;1008;1011,2;1004,2;6,7;11,3
Torungen Fyr;SN36200;22.03.1961;1004,2;1005,2;1003,6;7,2;8,2
Torungen Fyr;SN36200;23.03.1961;1002,2;1004;1000,6;9,8;16,5
Torungen Fyr;SN36200;24.03.1961;1007,9;1009,2;1006,6;6,2;10,3
Torungen Fyr;SN36200;25.03.1961;1011,9;1013,7;1009,9;5,7;11,8
Torungen Fyr;SN36200;26.03.1961;989,8;994,7;985,3;9,3;17,5
Torungen Fyr;SN36200;27.03.1961;997,8;999,2;995,5;9,3;13,4
Torungen Fyr;SN36200;28.03.1961;1006,1;1007,8;1004,8;6,2;10,8
Torungen Fyr;SN36200;29.03.1961;993,5;1000,2;985,5;3,1;8,2
