Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;05.01.1963;1001,4;1001,7;1001;6,2;9,3
Torungen Fyr;SN36200;06.01.1963;1010,3;1013,7;1006,6;3,6;9,3
Torungen Fyr;SN36200;07.01.1963;1018,4;1019,1;1017,4;2,1;5,1
Torungen Fyr;SN36200;08.01.1963;1021,9;1022,2;1021,4;6,2;7,2
Torungen Fyr;SN36200;09.01.1963;1024,6;1024,9;1024,1;3,1;4,1
Torungen Fyr;SN36200;10.01.1963;1025,8;1026,3;1025,1;3,1;6,7
Torungen Fyr;SN36200;11.01.1963;1029;1029,7;1028;2,6;6,2
Torungen Fyr;SN36200;12.01.1963;1026,9;1028,5;1025,5;1;3,1
Torungen Fyr;SN36200;13.01.1963;1012,4;1018,5;1006,3;3,1;9,3
Torungen Fyr;SN36200;14.01.1963;1019,4;1021,8;1016,8;2,6;10,3
Torungen Fyr;SN36200;15.01.1963;1023,6;1026;1022,3;5,1;9,3
Torungen Fyr;SN36200;16.01.1963;1038,2;1040,1;1035,5;6,7;9,8
Torungen Fyr;SN36200;17.01.1963;1038,2;1041,7;1034,7;3,1;6,2
Torungen Fyr;SN36200;18.01.1963;1038,9;1039,9;1037,8;2,1;5,1
Torungen Fyr;SN36200;19.01.1963;1032,5;1034,4;1031,1;3,1;8,7
Torungen Fyr;SN36200;20.01.1963;1038,4;1040,1;1036,6;5,1;10,3
Torungen Fyr;SN36200;21.01.1963;1041,8;1042,5;1040,7;2,6;4,6
Torungen Fyr;SN36200;22.01.1963;1038;1040,4;1035;0;4,6
Torungen Fyr;SN36200;23.01.1963;1026,6;1030,5;1022,1;3,1;10,3
Torungen Fyr;SN36200;24.01.1963;1024,3;1027,4;1020,5;2,1;4,6
Torungen Fyr;SN36200;25.01.1963;1024,5;1027,4;1021,4;4,1;10,8
Torungen Fyr;SN36200;26.01.1963;1023,3;1030,6;1015,5;6,7;10,8
Torungen Fyr;SN36200;27.01.1963;1037,1;1038,3;1036;2,1;3,1
Torungen Fyr;SN36200;28.01.1963;1038,9;1040,2;1037,7;3,6;5,1
Torungen Fyr;SN36200;29.01.1963;1031,6;1034,3;1028,5;0;3,1
Torungen Fyr;SN36200;30.01.1963;1026,2;1027,7;1024,8;2,6;6,7
Torungen Fyr;SN36200;31.01.1963;1027,8;1028,7;1026,8;6,7;9,3
Torungen Fyr;SN36200;01.02.1963;1027,9;1028,1;1027,8;10,3;14,4
Torungen Fyr;SN36200;02.02.1963;1026,4;1030;1022,2;5,1;11,3
Torungen Fyr;SN36200;03.02.1963;1008,5;1012,8;1004,5;6,2;7,2
Torungen Fyr;SN36200;04.02.1963;1001;1001,5;1000,4;5,1;10,3
Torungen Fyr;SN36200;05.02.1963;1006,1;1010,4;1002,3;2,6;3,1
Torungen Fyr;SN36200;06.02.1963;1023,5;1025,2;1020,9;5,7;6,2
Torungen Fyr;SN36200;07.02.1963;1025,7;1026,1;1025,2;7,7;8,7
Torungen Fyr;SN36200;08.02.1963;1028,4;1029;1027,5;9,8;9,8
Torungen Fyr;SN36200;09.02.1963;1030,3;1031;1029,3;8,2;9,3
Torungen Fyr;SN36200;10.02.1963;1022,7;1024,7;1020,3;10,3;12,3
Torungen Fyr;SN36200;11.02.1963;1012,7;1015,1;1010,1;7,7;9,8
Torungen Fyr;SN36200;12.02.1963;1007,5;1008;1006,8;4,1;6,2
Torungen Fyr;SN36200;13.02.1963;1010,1;1010,4;1009,6;7,7;11,8
Torungen Fyr;SN36200;14.02.1963;1010,8;1011,3;1010,3;10,3;12,3
Torungen Fyr;SN36200;15.02.1963;1006,2;1007,6;1004,5;6,7;8,7
Torungen Fyr;SN36200;16.02.1963;1003,2;1003,4;1002,9;3,1;6,2
Torungen Fyr;SN36200;17.02.1963;1007;1008,7;1005,2;8,2;9,8
Torungen Fyr;SN36200;18.02.1963;1012,1;1012,9;1011,6;6,2;7,2
Torungen Fyr;SN36200;19.02.1963;1010,7;1011;1010;3,1;6,2
Torungen Fyr;SN36200;20.02.1963;1009,2;1009,9;1008,5;1,5;4,1
Torungen Fyr;SN36200;21.02.1963;1010,3;1011,9;1008,8;2,1;7,2
Torungen Fyr;SN36200;22.02.1963;1021,3;1022,7;1018,9;0,5;4,1
Torungen Fyr;SN36200;23.02.1963;1023,5;1024;1022,7;3,6;6,2
Torungen Fyr;SN36200;24.02.1963;1021,4;1021,9;1020,5;6,7;9,3
Torungen Fyr;SN36200;25.02.1963;1022,5;1024,4;1021;4,1;10,3
Torungen Fyr;SN36200;26.02.1963;1033,2;1035,7;1029,9;2,6;6,2
Torungen Fyr;SN36200;27.02.1963;1036,6;1036,8;1036,4;2,1;6,7
Torungen Fyr;SN36200;28.02.1963;1037,4;1037,9;1036,6;1,5;2,6
Torungen Fyr;SN36200;01.03.1963;1037,6;1038,7;1036,3;0;3,1
Torungen Fyr;SN36200;02.03.1963;1032,6;1034,3;1030,5;0;4,1
Torungen Fyr;SN36200;03.03.1963;1027,9;1028,5;1027;0;2,1
Torungen Fyr;SN36200;04.03.1963;1025,5;1026,1;1025,1;2,1;4,1
Torungen Fyr;SN36200;05.03.1963;1022,8;1024;1021,1;2,1;2,6
Torungen Fyr;SN36200;06.03.1963;1006,7;1008,6;1004,9;3,1;10,3
Torungen Fyr;SN36200;07.03.1963;1003,1;1006,1;999,1;3,1;9,8
Torungen Fyr;SN36200;08.03.1963;1007,9;1010,8;1003,5;4,6;11,3
Torungen Fyr;SN36200;09.03.1963;1012,7;1013,8;1011,1;11,8;13,4
Torungen Fyr;SN36200;10.03.1963;1005,6;1008,3;1002,8;10,8;14,4
Torungen Fyr;SN36200;11.03.1963;998,9;999,4;998,4;6,2;9,3
Torungen Fyr;SN36200;12.03.1963;996,5;998,3;995,1;8,2;8,7
Torungen Fyr;SN36200;13.03.1963;1015;1020,4;1008,9;4,6;10,3
Torungen Fyr;SN36200;14.03.1963;1027,4;1028,5;1026,6;4,6;8,2
Torungen Fyr;SN36200;15.03.1963;1021,9;1022,4;1021,4;8,2;8,7
Torungen Fyr;SN36200;16.03.1963;1019,8;1019,9;1019,8;8,2;10,8
Torungen Fyr;SN36200;17.03.1963;1023,3;1025;1021,2;8,7;10,8
Torungen Fyr;SN36200;18.03.1963;1022,4;1023,3;1021,2;10,3;11,3
Torungen Fyr;SN36200;19.03.1963;1018,7;1019,3;1018,1;7,2;11,3
Torungen Fyr;SN36200;20.03.1963;1020,4;1021,8;1018,9;10,3;11,8
Torungen Fyr;SN36200;21.03.1963;1024,6;1025;1024,2;2,6;8,2
Torungen Fyr;SN36200;22.03.1963;1023,5;1024,2;1022,7;2,6;4,6
Torungen Fyr;SN36200;23.03.1963;1026,4;1028,2;1024,9;0;4,1
Torungen Fyr;SN36200;24.03.1963;1011,6;1016,2;1006,6;8,2;10,3
Torungen Fyr;SN36200;25.03.1963;992,5;993;992,1;5,1;10,8
Torungen Fyr;SN36200;26.03.1963;998,7;1001,8;995,4;4,1;9,3
Torungen Fyr;SN36200;27.03.1963;1007,7;1008,7;1006,1;5,7;6,2
Torungen Fyr;SN36200;28.03.1963;1007,9;1008,7;1007,1;7,2;10,3
Torungen Fyr;SN36200;29.03.1963;1013,6;1014,2;1012,6;4,1;11,3
Torungen Fyr;SN36200;30.03.1963;1015,9;1016,6;1015,3;9,3;14,9
Torungen Fyr;SN36200;31.03.1963;1023,2;1024,3;1021,6;5,1;10,3
Torungen Fyr;SN36200;01.04.1963;1026,2;1027,1;1025,7;2,6;7,2
Torungen Fyr;SN36200;02.04.1963;1021,2;1021,9;1020,2;6,2;9,3
Torungen Fyr;SN36200;03.04.1963;1014,7;1016,1;1013,3;2,1;5,1
Torungen Fyr;SN36200;04.04.1963;1016,7;1019,3;1014,2;6,7;8,2
Torungen Fyr;SN36200;05.04.1963;1029,1;1031,6;1026,2;11,8;13,9
Torungen Fyr;SN36200;06.04.1963;1032,4;1034,4;1029,6;2,6;9,3
Torungen Fyr;SN36200;07.04.1963;1023,6;1025,7;1020,6;1;7,2
Torungen Fyr;SN36200;08.04.1963;1014,1;1016,9;1010,6;3,1;11,3
Torungen Fyr;SN36200;09.04.1963;1005,4;1006,6;1004,2;2,6;4,6
Torungen Fyr;SN36200;10.04.1963;1000,1;1002,8;997;7,2;13,4
Torungen Fyr;SN36200;11.04.1963;994;998,1;990,6;2,6;11,3
Torungen Fyr;SN36200;12.04.1963;1002,7;1006,3;1000,4;7,2;8,2
Torungen Fyr;SN36200;13.04.1963;1016,5;1017,5;1015,3;4,6;11,3
Torungen Fyr;SN36200;14.04.1963;1010,9;1013,5;1007,1;11,8;13,9
Torungen Fyr;SN36200;15.04.1963;997,8;999,6;996;4,1;12,9
Torungen Fyr;SN36200;16.04.1963;1007,3;1008,7;1005,4;3,1;7,2
Torungen Fyr;SN36200;17.04.1963;1007,8;1008,1;1007,5;5,1;10,3
Torungen Fyr;SN36200;18.04.1963;1008,1;1008,4;1007,9;7,7;11,8
Torungen Fyr;SN36200;19.04.1963;1015,6;1018,2;1012,7;1;4,6
Torungen Fyr;SN36200;20.04.1963;1020,5;1021,3;1019;1;6,2
Torungen Fyr;SN36200;21.04.1963;1015,3;1016,6;1014,1;7,2;9,3
Torungen Fyr;SN36200;22.04.1963;1017,6;1019,1;1015,9;6,7;9,8
Torungen Fyr;SN36200;23.04.1963;1021,3;1021,6;1020,7;4,1;6,7
Torungen Fyr;SN36200;24.04.1963;1025,1;1026,1;1023,9;4,6;10,3
Torungen Fyr;SN36200;25.04.1963;1026,7;1027,1;1026;0;5,7
Torungen Fyr;SN36200;26.04.1963;1027;1027,9;1026,1;2,6;7,2
Torungen Fyr;SN36200;27.04.1963;1022,3;1024;1020,4;2,6;11,3
Torungen Fyr;SN36200;28.04.1963;1017;1018,3;1015;1;9,3
Torungen Fyr;SN36200;29.04.1963;1011,7;1012,9;1010;1;8,7
Torungen Fyr;SN36200;30.04.1963;1005,9;1007;1004,9;6,2;8,7
Torungen Fyr;SN36200;01.05.1963;999,2;1001,3;997;3,6;9,3
Torungen Fyr;SN36200;02.05.1963;991,2;991,9;990,6;3,1;12,9
Torungen Fyr;SN36200;03.05.1963;1002,2;1006,8;997,1;8,2;11,3
Torungen Fyr;SN36200;04.05.1963;1016,1;1017,4;1015;2,1;7,7
Torungen Fyr;SN36200;05.05.1963;1010,2;1011,9;1008,8;2,6;4,1
Torungen Fyr;SN36200;06.05.1963;1009,4;1011;1007,9;4,1;9,8
Torungen Fyr;SN36200;07.05.1963;1022;1023,8;1018,5;5,7;7,7
Torungen Fyr;SN36200;08.05.1963;1023,2;1025;1020,2;2,6;10,3
Torungen Fyr;SN36200;09.05.1963;1016,7;1018,1;1014,9;4,1;8,7
Torungen Fyr;SN36200;10.05.1963;1011,6;1013,4;1009,2;4,6;7,7
Torungen Fyr;SN36200;11.05.1963;1010,9;1013,3;1007,3;4,6;9,8
Torungen Fyr;SN36200;12.05.1963;1018,4;1020,4;1015,6;5,1;10,3
Torungen Fyr;SN36200;13.05.1963;1013,7;1015,1;1012;5,1;7,2
Torungen Fyr;SN36200;14.05.1963;1011,1;1011,9;1010,4;1;5,1
Torungen Fyr;SN36200;15.05.1963;1016,5;1018;1014,7;0,5;9,8
Torungen Fyr;SN36200;16.05.1963;1021,3;1022;1020,5;3,1;13,4
Torungen Fyr;SN36200;17.05.1963;1013,2;1015,4;1011,9;3,1;10,3
Torungen Fyr;SN36200;18.05.1963;1006,4;1008,6;1005,1;10,8;14,4
Torungen Fyr;SN36200;19.05.1963;1003,1;1003,8;1002,6;2,1;7,7
Torungen Fyr;SN36200;20.05.1963;1007,1;1009,3;1005,2;6,7;14,4
Torungen Fyr;SN36200;21.05.1963;1006,7;1008;1004,9;9,3;16,5
Torungen Fyr;SN36200;22.05.1963;1012,5;1015,2;1009,2;0;9,3
Torungen Fyr;SN36200;23.05.1963;1020,5;1021,4;1020;3,1;7,7
Torungen Fyr;SN36200;24.05.1963;1022,4;1022,9;1021,7;11,3;12,9
Torungen Fyr;SN36200;25.05.1963;1024,5;1025,1;1023,7;2,6;12,3
Torungen Fyr;SN36200;26.05.1963;1024,5;1024,8;1023,8;2,6;3,1
Torungen Fyr;SN36200;27.05.1963;1024,4;1024,9;1023,8;4,1;7,2
Torungen Fyr;SN36200;28.05.1963;1025,7;1026;1025,2;2,6;5,7
Torungen Fyr;SN36200;29.05.1963;1028,2;1028,5;1027,9;1,5;5,1
Torungen Fyr;SN36200;30.05.1963;1027,7;1028,6;1026,1;4,6;8,7
Torungen Fyr;SN36200;31.05.1963;1028,1;1028,9;1027,3;2,6;7,2
Torungen Fyr;SN36200;01.06.1963;1030,2;1030,8;1029;1;7,7
Torungen Fyr;SN36200;02.06.1963;1025,1;1028,1;1021,9;2,6;10,3
Torungen Fyr;SN36200;03.06.1963;1017,6;1020,5;1014;1;3,1
Torungen Fyr;SN36200;04.06.1963;1016,5;1017,1;1015,6;10,3;13,4
Torungen Fyr;SN36200;05.06.1963;1022,5;1023,5;1021,7;0,5;8,2
Torungen Fyr;SN36200;06.06.1963;1022,8;1023,6;1021,8;1;3,1
Torungen Fyr;SN36200;07.06.1963;1023,4;1023,8;1022,8;2,6;5,1
Torungen Fyr;SN36200;08.06.1963;1022,6;1024;1020,7;2,1;10,3
Torungen Fyr;SN36200;09.06.1963;1017,1;1019,2;1014,8;1,5;8,2
Torungen Fyr;SN36200;10.06.1963;1011,3;1012,5;1009,8;4,1;5,7
Torungen Fyr;SN36200;11.06.1963;1007,2;1008,9;1004,8;2,6;6,7
Torungen Fyr;SN36200;12.06.1963;1006,7;1008,7;1004,3;5,7;7,2
Torungen Fyr;SN36200;13.06.1963;1012,5;1013,9;1011,1;6,7;16,5
Torungen Fyr;SN36200;14.06.1963;1009,2;1010,2;1008,2;2,6;5,1
Torungen Fyr;SN36200;15.06.1963;1006,4;1007,1;1005,4;4,1;8,7
Torungen Fyr;SN36200;16.06.1963;1007,3;1008,6;1006;4,1;10,3
Torungen Fyr;SN36200;17.06.1963;1008,9;1009,3;1008,4;7,2;13,4
Torungen Fyr;SN36200;18.06.1963;1002,6;1007,4;997;4,6;9,3
Torungen Fyr;SN36200;19.06.1963;994,4;995,7;993,1;2,1;6,2
Torungen Fyr;SN36200;20.06.1963;997,9;998,3;997;2,1;7,2
Torungen Fyr;SN36200;21.06.1963;1002,2;1003,7;1000,8;6,2;9,3
Torungen Fyr;SN36200;22.06.1963;1006,3;1007;1005;7,2;11,3
Torungen Fyr;SN36200;23.06.1963;1004,4;1004,6;1004,2;9,3;12,3
Torungen Fyr;SN36200;24.06.1963;1008,2;1008,6;1007,7;5,7;13,4
Torungen Fyr;SN36200;25.06.1963;1006,2;1006,8;1005,4;6,2;7,2
Torungen Fyr;SN36200;26.06.1963;1001,3;1002,5;1000,5;6,2;9,3
Torungen Fyr;SN36200;27.06.1963;1008,4;1010;1006,5;5,7;8,2
Torungen Fyr;SN36200;28.06.1963;1017,6;1018,5;1016,1;1;4,6
Torungen Fyr;SN36200;29.06.1963;1020,7;1021,3;1020;0;10,8
Torungen Fyr;SN36200;30.06.1963;1018,8;1020,1;1017,2;4,1;9,8
Torungen Fyr;SN36200;01.07.1963;1019,7;1020,6;1019;3,1;5,1
Torungen Fyr;SN36200;02.07.1963;1018,8;1019,7;1017,4;1;9,3
Torungen Fyr;SN36200;03.07.1963;1019,5;1020,3;1018,9;0,5;10,3
Torungen Fyr;SN36200;04.07.1963;1018,5;1019;1017,4;3,1;9,3
Torungen Fyr;SN36200;05.07.1963;1016,2;1017;1015,1;4,1;12,9
Torungen Fyr;SN36200;06.07.1963;1011,3;1012;1010,7;8,2;13,4
Torungen Fyr;SN36200;07.07.1963;1004,2;1007,4;1001,4;1,5;10,3
Torungen Fyr;SN36200;08.07.1963;1002,9;1004;1002,2;5,1;8,2
Torungen Fyr;SN36200;09.07.1963;1000,8;1001,7;999,7;7,7;10,8
Torungen Fyr;SN36200;10.07.1963;999,9;1000,2;999,4;9,3;13,9
Torungen Fyr;SN36200;11.07.1963;1000,1;1001,4;999,3;7,2;7,2
Torungen Fyr;SN36200;12.07.1963;1007,4;1008;1006,5;9,8;12,3
Torungen Fyr;SN36200;13.07.1963;1010,1;1010,4;1009,6;2,6;4,1
Torungen Fyr;SN36200;14.07.1963;1012,3;1014,1;1010,1;5,7;10,8
Torungen Fyr;SN36200;15.07.1963;1013,9;1014,5;1012,8;10,3;11,3
Torungen Fyr;SN36200;16.07.1963;1008,1;1008,4;1007,7;10,3;13,9
Torungen Fyr;SN36200;17.07.1963;1009,5;1010,7;1008,3;4,1;13,4
Torungen Fyr;SN36200;18.07.1963;1011,6;1013,1;1009,9;7,7;11,3
Torungen Fyr;SN36200;19.07.1963;1015;1016,4;1012,8;2,1;10,3
Torungen Fyr;SN36200;20.07.1963;1013,1;1016,4;1010,2;9,3;12,3
Torungen Fyr;SN36200;21.07.1963;1022,7;1023,3;1022,3;5,1;7,2
Torungen Fyr;SN36200;22.07.1963;1019,7;1021,2;1017,9;8,2;13,9
Torungen Fyr;SN36200;23.07.1963;1013,8;1015,3;1012,2;3,1;9,8
Torungen Fyr;SN36200;24.07.1963;1006,4;1008,5;1004,4;3,1;6,2
Torungen Fyr;SN36200;25.07.1963;1006,9;1010,1;1003;8,7;10,8
Torungen Fyr;SN36200;26.07.1963;1018;1020,4;1015,9;7,7;9,3
Torungen Fyr;SN36200;27.07.1963;1029,8;1030,7;1028,4;5,7;7,2
Torungen Fyr;SN36200;28.07.1963;1031,8;1032,2;1031,3;0,5;4,6
Torungen Fyr;SN36200;29.07.1963;1031;1031,6;1029,9;0;6,2
Torungen Fyr;SN36200;30.07.1963;1028,8;1029,8;1027,1;4,1;5,1
Torungen Fyr;SN36200;31.07.1963;1023,6;1025,6;1021,5;8,2;10,8
Torungen Fyr;SN36200;01.08.1963;1015,1;1015,7;1014,1;5,1;14,4
Torungen Fyr;SN36200;02.08.1963;1016,4;1016,6;1016;4,1;6,2
Torungen Fyr;SN36200;03.08.1963;1016,9;1017,4;1016;2,6;3,1
Torungen Fyr;SN36200;04.08.1963;1013,2;1014;1012;7,2;11,3
Torungen Fyr;SN36200;05.08.1963;1012,8;1013,5;1012,3;3,1;11,3
Torungen Fyr;SN36200;06.08.1963;1016,4;1017;1015,8;7,2;9,3
Torungen Fyr;SN36200;07.08.1963;1012,7;1014,4;1010,6;0,5;7,2
Torungen Fyr;SN36200;08.08.1963;1004,7;1007,5;1001,6;4,6;8,7
Torungen Fyr;SN36200;09.08.1963;999,2;1001,6;996,6;9,8;12,9
Torungen Fyr;SN36200;10.08.1963;1001,1;1001,4;1000,5;4,6;11,3
Torungen Fyr;SN36200;11.08.1963;995,2;996,9;994,1;7,2;14,4
Torungen Fyr;SN36200;12.08.1963;997;998,4;995,3;3,1;7,2
Torungen Fyr;SN36200;13.08.1963;1000,9;1001,8;999,5;2,6;4,1
Torungen Fyr;SN36200;14.08.1963;1007,4;1008,2;1006,2;5,1;8,2
Torungen Fyr;SN36200;15.08.1963;1008,8;1009,5;1007,7;3,6;7,2
Torungen Fyr;SN36200;16.08.1963;1006,2;1007,1;1004,9;2,6;6,7
Torungen Fyr;SN36200;17.08.1963;1007,9;1008,2;1007,8;3,6;4,1
Torungen Fyr;SN36200;18.08.1963;1005,3;1007,1;1003,1;9,3;12,3
Torungen Fyr;SN36200;19.08.1963;994,3;996,1;993;2,1;14,9
Torungen Fyr;SN36200;20.08.1963;994,4;995;993,6;5,1;12,3
Torungen Fyr;SN36200;21.08.1963;1001,1;1002,9;998,8;1;8,7
Torungen Fyr;SN36200;22.08.1963;1006;1006,7;1005,1;3,1;3,6
Torungen Fyr;SN36200;23.08.1963;1005,9;1006,5;1004,9;4,1;4,6
Torungen Fyr;SN36200;24.08.1963;1000,6;1001,7;999,6;0;11,3
Torungen Fyr;SN36200;25.08.1963;1001,7;1004;998,6;5,1;6,7
Torungen Fyr;SN36200;26.08.1963;997,4;998,5;995,3;12,3;13,4
Torungen Fyr;SN36200;27.08.1963;997,4;1000,1;995,8;4,1;14,9
Torungen Fyr;SN36200;28.08.1963;1006,9;1008,6;1004,7;7,2;12,3
Torungen Fyr;SN36200;29.08.1963;1012,2;1012,6;1011,4;1;4,1
Torungen Fyr;SN36200;30.08.1963;1013,1;1013,3;1012,6;5,1;5,7
Torungen Fyr;SN36200;31.08.1963;1014,5;1014,9;1014,1;6,7;11,3
Torungen Fyr;SN36200;01.09.1963;1016,9;1017,4;1016,5;7,2;10,3
Torungen Fyr;SN36200;02.09.1963;1015,9;1016,6;1014,9;3,1;6,2
Torungen Fyr;SN36200;03.09.1963;1009,2;1010,1;1007,8;7,2;8,7
Torungen Fyr;SN36200;04.09.1963;1006,1;1006,6;1005,7;5,1;9,3
Torungen Fyr;SN36200;05.09.1963;1008,4;1009,3;1007,3;6,7;7,7
Torungen Fyr;SN36200;06.09.1963;1011,5;1012,3;1010,4;2,1;7,2
Torungen Fyr;SN36200;07.09.1963;1013,7;1014;1013,4;2,6;10,3
Torungen Fyr;SN36200;08.09.1963;1012,8;1014,3;1011,3;2,1;14,4
Torungen Fyr;SN36200;09.09.1963;1007,4;1007,5;1007,3;6,2;14,9
Torungen Fyr;SN36200;10.09.1963;1011,6;1014,2;1008,8;4,1;11,3
Torungen Fyr;SN36200;11.09.1963;1017,5;1017,6;1017,3;3,1;9,3
Torungen Fyr;SN36200;12.09.1963;1018,9;1019,5;1018,3;4,6;6,2
Torungen Fyr;SN36200;13.09.1963;1020,9;1021,7;1019,8;3,1;10,3
Torungen Fyr;SN36200;14.09.1963;1013,7;1014,4;1013,1;8,2;13,9
Torungen Fyr;SN36200;15.09.1963;1017,3;1017,9;1016,1;9,3;10,3
Torungen Fyr;SN36200;16.09.1963;1016,2;1016,9;1015,1;8,2;12,9
Torungen Fyr;SN36200;17.09.1963;1014,7;1017;1011,4;6,7;11,3
Torungen Fyr;SN36200;18.09.1963;1013,8;1017,4;1010;4,1;4,6
Torungen Fyr;SN36200;19.09.1963;1028,4;1029,4;1026,5;4,1;7,7
Torungen Fyr;SN36200;20.09.1963;1031,5;1032,1;1031;4,1;6,2
Torungen Fyr;SN36200;21.09.1963;1029,1;1030;1027,8;3,1;6,7
Torungen Fyr;SN36200;22.09.1963;1023,7;1024,3;1022,6;3,1;7,7
Torungen Fyr;SN36200;23.09.1963;1021,1;1021,7;1020,2;5,7;8,2
Torungen Fyr;SN36200;24.09.1963;1008,4;1015,3;1001;0;14,4
Torungen Fyr;SN36200;25.09.1963;996,4;1000,7;992,6;6,2;14,4
Torungen Fyr;SN36200;26.09.1963;992,6;1002,2;985,2;0;31,4
Torungen Fyr;SN36200;27.09.1963;987,6;992,7;983,9;13,4;17
Torungen Fyr;SN36200;28.09.1963;1004,4;1007,7;1001,2;6,2;7,7
Torungen Fyr;SN36200;29.09.1963;1000,9;1004,4;996,4;5,1;11,3
Torungen Fyr;SN36200;30.09.1963;998,3;999,4;996,7;5,1;6,7
Torungen Fyr;SN36200;01.10.1963;996,7;997,2;996,3;8,2;10,8
Torungen Fyr;SN36200;02.10.1963;996,9;997,4;996,6;4,1;10,3
Torungen Fyr;SN36200;03.10.1963;997,3;998,6;995,4;5,1;5,7
Torungen Fyr;SN36200;04.10.1963;994,9;996;993,4;5,1;13,4
Torungen Fyr;SN36200;05.10.1963;998,1;998,7;997,2;2,1;5,1
Torungen Fyr;SN36200;06.10.1963;999,9;1001,1;998,6;2,1;3,6
Torungen Fyr;SN36200;07.10.1963;1008,1;1011,1;1004,8;3,6;7,2
Torungen Fyr;SN36200;08.10.1963;1015,1;1017,1;1011,4;3,6;16,5
Torungen Fyr;SN36200;09.10.1963;1016,6;1018,7;1013,6;9,3;10,3
Torungen Fyr;SN36200;10.10.1963;1010,4;1013,9;1006,2;7,7;12,9
Torungen Fyr;SN36200;11.10.1963;1007,1;1014,3;1000,9;10,3;13,4
Torungen Fyr;SN36200;12.10.1963;1012;1014,2;1010;4,6;10,3
Torungen Fyr;SN36200;13.10.1963;992,4;998,6;988,4;7,2;9,3
Torungen Fyr;SN36200;14.10.1963;1006,8;1012,5;1000,1;5,7;7,7
Torungen Fyr;SN36200;15.10.1963;1018,7;1019,7;1018,1;2,1;6,2
Torungen Fyr;SN36200;16.10.1963;1007,4;1009,5;1006;5,1;16,5
Torungen Fyr;SN36200;17.10.1963;1010,2;1010,3;1010,1;3,6;5,1
Torungen Fyr;SN36200;18.10.1963;1014,9;1015,7;1014;2,6;8,7
Torungen Fyr;SN36200;19.10.1963;1019,8;1021;1018,6;6,2;7,2
Torungen Fyr;SN36200;20.10.1963;1015,4;1015,9;1014,6;6,2;11,3
Torungen Fyr;SN36200;21.10.1963;1015,5;1015,9;1015;7,2;12,3
Torungen Fyr;SN36200;22.10.1963;1011,9;1018,2;1007,7;6,2;8,2
Torungen Fyr;SN36200;23.10.1963;1025,8;1026,7;1025,1;3,1;8,2
Torungen Fyr;SN36200;24.10.1963;1027,5;1027,9;1026,9;7,2;10,3
Torungen Fyr;SN36200;25.10.1963;1029,5;1030;1028,7;4,1;8,2
Torungen Fyr;SN36200;26.10.1963;1029;1030,1;1027,3;0,5;4,1
Torungen Fyr;SN36200;27.10.1963;1024,7;1025,1;1023,9;2,1;6,7
Torungen Fyr;SN36200;28.10.1963;1020,9;1022,4;1020,2;3,1;5,1
Torungen Fyr;SN36200;29.10.1963;1019,9;1020,5;1019,2;3,1;3,6
Torungen Fyr;SN36200;30.10.1963;1020,9;1021,4;1020,6;6,2;6,7
Torungen Fyr;SN36200;31.10.1963;1017,4;1018,1;1016,6;8,2;10,3
Torungen Fyr;SN36200;01.11.1963;1011,7;1014,2;1008,7;11,3;11,8
Torungen Fyr;SN36200;02.11.1963;1004,3;1005,1;1003,7;8,2;10,3
Torungen Fyr;SN36200;03.11.1963;1007,1;1007,6;1006,3;3,6;5,1
Torungen Fyr;SN36200;04.11.1963;1012,6;1013,6;1011,1;4,6;7,7
Torungen Fyr;SN36200;05.11.1963;1012,7;1013,6;1011,3;7,7;10,3
Torungen Fyr;SN36200;06.11.1963;1006,3;1007,9;1004,3;7,2;10,3
Torungen Fyr;SN36200;07.11.1963;992,9;996,7;989;9,8;10,8
Torungen Fyr;SN36200;08.11.1963;983,9;984,9;982,9;2,1;6,7
Torungen Fyr;SN36200;09.11.1963;994,6;1001,2;988,6;4,6;9,3
Torungen Fyr;SN36200;10.11.1963;1006,8;1007,7;1005,8;3,1;6,7
Torungen Fyr;SN36200;11.11.1963;998,6;1002,1;994,2;10,3;14,4
Torungen Fyr;SN36200;12.11.1963;986;988;984,8;5,7;14,4
Torungen Fyr;SN36200;13.11.1963;977,5;978,8;976;10,3;15,4
Torungen Fyr;SN36200;14.11.1963;985,4;989,7;981,4;7,7;10,8
Torungen Fyr;SN36200;15.11.1963;989,5;991,1;986,8;3,1;8,7
Torungen Fyr;SN36200;16.11.1963;986;987,8;984,7;3,6;6,2
Torungen Fyr;SN36200;17.11.1963;994,9;996,8;992,8;3,1;5,1
Torungen Fyr;SN36200;18.11.1963;980;983,7;977;8,2;19
Torungen Fyr;SN36200;19.11.1963;988,7;991,1;985;3,1;7,2
Torungen Fyr;SN36200;20.11.1963;993,8;999,3;988,7;6,2;10,8
Torungen Fyr;SN36200;21.11.1963;1006,1;1010,7;997,9;6,7;14,9
Torungen Fyr;SN36200;22.11.1963;990,5;995,3;985,2;3,1;6,2
Torungen Fyr;SN36200;23.11.1963;1010;1012,3;1006,8;4,1;9,3
Torungen Fyr;SN36200;24.11.1963;1012,6;1013,8;1010,8;10,8;14,9
